DISTRICT_CD,DISTRICT,SDPO_CD,SDPO,CIRCLE_CD,CIRCLE,PS_CD,PS
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035205,Araku Circle,2035011,Dumbriguda
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035205,Araku Circle,2035002,Araku
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035205,Araku Circle,2035066,Anantagiri
2057,Alluri Sitharama Raju,2035401,Chintapalli SDPO,2035203,Chintapalli Circle,2035071,Annavaram
2057,Alluri Sitharama Raju,2035401,Chintapalli SDPO,2035203,Chintapalli Circle,2035007,Chinthapalli
2057,Alluri Sitharama Raju,2035401,Chintapalli SDPO,2035204,G. K. Veedhi Circle,2035019,Gudemkothaveedi (G.K.Veedhi)
2057,Alluri Sitharama Raju,2035401,Chintapalli SDPO,2035204,G. K. Veedhi Circle,2035047,Sileru
2057,Alluri Sitharama Raju,2035401,Chintapalli SDPO,2035211,Koyyuru Circle,2035033,Koyyuru
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035206,G. Madugula Circle,2035017,Gangaraju Madugula(G.Madugula)
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035206,G. Madugula Circle,2035049,Munchingiput
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035206,G. Madugula Circle,2035043,Pedabayalu
2057,Alluri Sitharama Raju,2035401,Chintapalli SDPO,2035211,Koyyuru Circle,2035050,Mampa
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,0,-,2035039,Paderu UPS
2057,Alluri Sitharama Raju,2035402,Paderu SDPO,2035207,Paderu Circle,2035021,Hukumpeta
2035,Anakapalli,2035400,Anakapalli SDPO,0,-,2035008,Chodavaram
2035,Anakapalli,2035404,Parawada SDPO,2035210,Yellamanchili Circle,2035065,Yelamanchili Town
2035,Anakapalli,2035404,Parawada SDPO,2035210,Yellamanchili Circle,2035064,Yelamanchili Rural
2035,Anakapalli,2035404,Parawada SDPO,0,-,2035044,Rambilli
2035,Anakapalli,2035404,Parawada SDPO,2035210,Yellamanchili Circle,2035068,Munagapaka
2035,Anakapalli,2035404,Parawada SDPO,0,-,2035012,Sabbavaram
2035,Anakapalli,2035404,Parawada SDPO,0,-,2038041,Parawada
2035,Anakapalli,2035404,Parawada SDPO,0,-,2035067,Atchutapuram
2035,Anakapalli,0,-,0,-,2035072,"CCS , Anakapalli"
2035,Anakapalli,0,-,0,-,2035015,"Mahila UPS, Anakapalli"
2035,Anakapalli,2035400,Anakapalli SDPO,0,-,2035001,Anakapalli Town
2035,Anakapalli,2035404,Parawada SDPO,2035210,Yellamanchili Circle,2035003,Yelamanchili Traffic
2035,Anakapalli,2035400,Anakapalli SDPO,2035200,Anakapalli Rural Circle,2035070,Anakapalli Rural
2035,Anakapalli,2035400,Anakapalli SDPO,0,-,2035027,Kasimkota
2035,Anakapalli,2035400,Anakapalli SDPO,2035213,Anakapalli Town UPS,2035022,Anakapalli Traffic
2035,Anakapalli,2035400,Anakapalli SDPO,2035202,K.Kotapadu Circle,2035029,A.Koduru
2035,Anakapalli,2035400,Anakapalli SDPO,2035202,K.Kotapadu Circle,2035009,Cheedikada
2035,Anakapalli,2035400,Anakapalli SDPO,2035202,K.Kotapadu Circle,2035010,Devarapalli
2035,Anakapalli,2035400,Anakapalli SDPO,2035202,K.Kotapadu Circle,2035031,K.Kotapadu
2035,Anakapalli,2035400,Anakapalli SDPO,2035202,K.Kotapadu Circle,2035054,V.Madugula
2035,Anakapalli,2035400,Anakapalli SDPO,2035208,Kothakota Circle,2035005,Butchiyyapeta
2035,Anakapalli,2035400,Anakapalli SDPO,2035208,Kothakota Circle,2035030,Kothakota
2035,Anakapalli,2035400,Anakapalli SDPO,2035208,Kothakota Circle,2035045,Ravikamatham
2035,Anakapalli,2035400,Anakapalli SDPO,2035208,Kothakota Circle,2035046,Rolugunta
2035,Anakapalli,2035403,Narsipatnam SDPO,0,-,2035037,Narsipatnam Town
2035,Anakapalli,2035403,Narsipatnam SDPO,0,-,2035041,Payakaraopeta
2035,Anakapalli,2035403,Narsipatnam SDPO,2035212,Nakkapalli Circle,2035032,Kotavurtla
2035,Anakapalli,2035403,Narsipatnam SDPO,0,-,2035035,Nakkapalli
2035,Anakapalli,2035403,Narsipatnam SDPO,2035212,Nakkapalli Circle,2035052,S.Rayavaram
2035,Anakapalli,2035403,Narsipatnam SDPO,2035209,Narsipatnam Rural Circle,2035051,Golugonda
2035,Anakapalli,2035403,Narsipatnam SDPO,2035209,Narsipatnam Rural Circle,2035028,K.D.Peta
2035,Anakapalli,2035403,Narsipatnam SDPO,2035209,Narsipatnam Rural Circle,2035053,Makavarapalem
2035,Anakapalli,2035403,Narsipatnam SDPO,2035209,Narsipatnam Rural Circle,2035038,Narsipatnam Rural
2035,Anakapalli,2035403,Narsipatnam SDPO,2035209,Narsipatnam Rural Circle,2035023,Nathavaram
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012226,Singanamala Circle ,2012016,Garladinne
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012226,Singanamala Circle ,2012063,Narpala
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012226,Singanamala Circle ,2012064,Singanamala
2012,Ananthapuram,2012402,Guntakal SDPO,0,-,2012020,Guntakal I Town
2012,Ananthapuram,2012402,Guntakal SDPO,0,-,2012021,Guntakal II Town
2012,Ananthapuram,2012402,Guntakal SDPO,0,-,2012075,Uravakonda
2012,Ananthapuram,2012402,Guntakal SDPO,2012205,Guntakal Rural  Circle,2012034,Guntakal Rural
2012,Ananthapuram,2012402,Guntakal SDPO,2012205,Guntakal Rural  Circle,2012035,Kasapuram
2012,Ananthapuram,2012402,Guntakal SDPO,0,-,2012087,Kuderu UPS
2012,Ananthapuram,2012402,Guntakal SDPO,2012208,Uravakonda Rural Circle,2012049,Palthur
2012,Ananthapuram,2012402,Guntakal SDPO,2012208,Uravakonda Rural Circle,2012078,Vajrakarur
2012,Ananthapuram,2012402,Guntakal SDPO,2012208,Uravakonda Rural Circle,2012079,Vidapanakal
2012,Ananthapuram,2012407,Kalyanadurg SDPO,0,-,2012031,Kalyandurg Town
2012,Ananthapuram,2012407,Kalyanadurg SDPO,0,-,2012057,Rayadurg
2012,Ananthapuram,2012402,Guntakal SDPO,2012208,Uravakonda Rural Circle,2012008,Beluguppa
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012202,Kalyandurg Rural Circle,2012084,Brahamasamudram
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012202,Kalyandurg Rural Circle,2012047,Kalyandurg Rural
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012202,Kalyandurg Rural Circle,2012032,Kambadur
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012202,Kalyandurg Rural Circle,2012088,Kundurpi
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012202,Kalyandurg Rural Circle,2012062,Settur
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012207,Rayadurg Rural Circle,2012009,Bommanahal
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012207,Rayadurg Rural Circle,2012026,D.Hirehal
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012207,Rayadurg Rural Circle,2012023,Gummagatta
2012,Ananthapuram,2012407,Kalyanadurg SDPO,2012207,Rayadurg Rural Circle,2012033,Kanekal
2012,Ananthapuram,2012402,Guntakal SDPO,0,-,2012018,Gooty
2012,Ananthapuram,2012402,Guntakal SDPO,0,-,2012051,Pamidi
2012,Ananthapuram,2012406,Tadipatri SDPO,0,-,2012066,Tadipathri Rural
2012,Ananthapuram,2012406,Tadipatri SDPO,0,-,2012067,Tadipathri Town
2012,Ananthapuram,2012406,Tadipatri SDPO,2012228,Peddavadugur,2012092,Peddapappur
2012,Ananthapuram,2012406,Tadipatri SDPO,2012228,Peddavadugur,2012070,Peddavadugur
2012,Ananthapuram,2012406,Tadipatri SDPO,0,-,2012082,Yadiki
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012217,Putlur Circle,2012056,Putlur
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012217,Putlur Circle,2012083,Yellanur
2012,Ananthapuram,0,-,0,-,2012040,Anantapur Traffic
2012,Ananthapuram,0,-,0,-,2012095,"CCS, Anantapur"
2012,Ananthapuram,0,-,0,-,2012014,"Mahila UPS, Anantapur"
2012,Ananthapuram,2012400,Anantapuram Town SDPO,0,-,2012003,Anantapur I Town
2012,Ananthapuram,2012400,Anantapuram Town SDPO,0,-,2012004,Anantapur II Town
2012,Ananthapuram,2012400,Anantapuram Town SDPO,0,-,2012046,Anantapur III Town
2012,Ananthapuram,2012400,Anantapuram Town SDPO,0,-,2012093,Anantapur IV Town
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,0,-,2012002,Anantapur Rural
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,0,-,2012085,Bukkaraya Samudram
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012201,Itukalapalli Circle,2012005,Atmakur
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,2012201,Itukalapalli Circle,2012028,Itukalapalli
2012,Ananthapuram,2012408,Anantapuram Rural SDPO,0,-,2012061,Rapthadu
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068003,Guntakal EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068009,B.K.Samudram EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068008,Kalyandurg EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068004,Kambadur EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068006,Tadipatri EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068002,Kanekal EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068005,Ananthapuramu EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068001,Gooty EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068007,Urvakonda EXCISE
2068,Ananthapuramu EXCISE,2068400,Ananthapuramu EXCISE,0,-,2068010,Rayadurg EXCISE
2058,Annamayya,2014402,Madanapalle SDPO,2014214,Molakalacheruvu Circle,2014071,Peddamandayam
2058,Annamayya,2014402,Madanapalle SDPO,2016229,Chowdepalli Circle,2014051,Sodam
2058,Annamayya,2014402,Madanapalle SDPO,2016229,Chowdepalli Circle,2014066,Chowdepalli
2058,Annamayya,2014402,Madanapalle SDPO,0,-,2014042,Punganur UPS
2058,Annamayya,2016406,Rayachoty SDPO,0,-,2014018,Kalikiri UPS
2058,Annamayya,2016406,Rayachoty SDPO,2014213,Voyalpadu Circle,2014065,Voyalpad
2058,Annamayya,2016406,Rayachoty SDPO,2016213,Rayachoty Rural Circle,2016054,Sambepalli
2058,Annamayya,2016406,Rayachoty SDPO,2016213,Rayachoty Rural Circle,2016007,Chinnamandem
2058,Annamayya,2014402,Madanapalle SDPO,0,-,2014025,Madanapalle I Town UPS
2058,Annamayya,2014402,Madanapalle SDPO,0,-,2014023,Madanapalle II Town UPS
2058,Annamayya,2014402,Madanapalle SDPO,0,-,2014024,Madanapalle Rural UPS
2058,Annamayya,2014402,Madanapalle SDPO,0,-,2014006,B.Kothakota UPS
2058,Annamayya,2014402,Madanapalle SDPO,2014211,Madanapalle Rural Circle,2014027,Mudiveedu
2058,Annamayya,2014402,Madanapalle SDPO,2014211,Madanapalle Rural Circle,2014032,Nimmanapalle
2058,Annamayya,2014402,Madanapalle SDPO,2014211,Madanapalle Rural Circle,2014075,Ramasamudram
2058,Annamayya,2014402,Madanapalle SDPO,2014214,Molakalacheruvu Circle,2014028,Mulakalacheruvu
2058,Annamayya,2014402,Madanapalle SDPO,2014214,Molakalacheruvu Circle,2014040,P.T.Samudram (PTM)
2058,Annamayya,2014402,Madanapalle SDPO,2016229,Chowdepalli Circle,2014052,Somala
2058,Annamayya,2014402,Madanapalle SDPO,2014214,Molakalacheruvu Circle,2014055,Thamballapalli
2058,Annamayya,2016406,Rayachoty SDPO,0,-,2014041,Piler UPS
2058,Annamayya,2016406,Rayachoty SDPO,0,-,2016079,Rayachoty Traffic
2058,Annamayya,2016406,Rayachoty SDPO,0,-,2016050,Rayachoty UPS
2058,Annamayya,2016406,Rayachoty SDPO,2014213,Voyalpadu Circle,2014014,Gurramkonda
2058,Annamayya,2016406,Rayachoty SDPO,2016226,Kalakada Circle,2014019,K.V.Palli
2058,Annamayya,2016406,Rayachoty SDPO,2016226,Kalakada Circle,2014017,Kalakada
2058,Annamayya,2016406,Rayachoty SDPO,2016211,Lakkireddipalli Circle,2016015,Galiveedu
