DISTRICT_CD,DISTRICT,CIRCLE_CD,CIRCLE,SDPO_CD,SDPO,PS_CD,PS
2057,Alluri Sitharama Raju,2017217,Addateegala Circle,2017405,Rampachodavaram SDPO,2017001,Addateegala
2057,Alluri Sitharama Raju,2035205,Araku Circle,2035402,Paderu SDPO,2035066,Anantagiri
2057,Alluri Sitharama Raju,2035203,Chintapalli Circle,2035401,Chintapalli SDPO,2035071,Annavaram
2057,Alluri Sitharama Raju,2035205,Araku Circle,2035402,Paderu SDPO,2035002,Araku
2057,Alluri Sitharama Raju,2035203,Chintapalli Circle,2035401,Chintapalli SDPO,2035007,Chinthapalli
2057,Alluri Sitharama Raju,2017226,Chintoor Circle,2017406,Chinturu SDPO,2017100,Chintoor
2057,Alluri Sitharama Raju,2017216,Rampachodavaram Circle,2017405,Rampachodavaram SDPO,2017018,Devipatnam
2057,Alluri Sitharama Raju,2017226,Chintoor Circle,2017406,Chinturu SDPO,2017019,Donkarai
2057,Alluri Sitharama Raju,2035205,Araku Circle,2035402,Paderu SDPO,2035011,Dumbriguda
2057,Alluri Sitharama Raju,2017217,Addateegala Circle,2017405,Rampachodavaram SDPO,2017022,Dutcherthi
2057,Alluri Sitharama Raju,2035206,G. Madugula Circle,2035402,Paderu SDPO,2035017,Gangaraju Madugula(G.Madugula)
2057,Alluri Sitharama Raju,2017217,Addateegala Circle,2017405,Rampachodavaram SDPO,2017028,Gangavaram
2057,Alluri Sitharama Raju,2035204,G. K. Veedhi Circle,2035401,Chintapalli SDPO,2035019,Gudemkothaveedi (G.K.Veedhi)
2057,Alluri Sitharama Raju,2017219,Maredumilli Circle,2017405,Rampachodavaram SDPO,2017092,Gurthedu
2057,Alluri Sitharama Raju,2035207,Paderu Circle,2035402,Paderu SDPO,2035021,Hukumpeta
2057,Alluri Sitharama Raju,2017218,Rajavommangi Circle,2017405,Rampachodavaram SDPO,2017090,Jaddangi
2057,Alluri Sitharama Raju,2035211,Koyyuru Circle,2035401,Chintapalli SDPO,2035033,Koyyuru
2057,Alluri Sitharama Raju,2017225,Yetapaka Circle,2017406,Chinturu SDPO,2017099,Kunavaram
2057,Alluri Sitharama Raju,2035211,Koyyuru Circle,2035401,Chintapalli SDPO,2035050,Mampa
2057,Alluri Sitharama Raju,2017219,Maredumilli Circle,2017405,Rampachodavaram SDPO,2017043,Maredumilli
2057,Alluri Sitharama Raju,2017226,Chintoor Circle,2017406,Chinturu SDPO,2017102,Moothugudem
2057,Alluri Sitharama Raju,2035206,G. Madugula Circle,2035402,Paderu SDPO,2035049,Munchingiput
2057,Alluri Sitharama Raju,2035207,Paderu Circle,2035402,Paderu SDPO,2035039,Paderu
2057,Alluri Sitharama Raju,2035206,G. Madugula Circle,2035402,Paderu SDPO,2035043,Pedabayalu
2057,Alluri Sitharama Raju,2017218,Rajavommangi Circle,2017405,Rampachodavaram SDPO,2017056,Rajavommangi
2057,Alluri Sitharama Raju,2017216,Rampachodavaram Circle,2017405,Rampachodavaram SDPO,2017058,Rampachodavaram
2057,Alluri Sitharama Raju,2035204,G. K. Veedhi Circle,2035401,Chintapalli SDPO,2035047,Sileru
2057,Alluri Sitharama Raju,2017225,Yetapaka Circle,2017406,Chinturu SDPO,2017101,Vara Ramachandrapuram
2057,Alluri Sitharama Raju,2017217,Addateegala Circle,2017405,Rampachodavaram SDPO,2017079,Y. Ramavaram
2057,Alluri Sitharama Raju,2017225,Yetapaka Circle,2017406,Chinturu SDPO,2017098,Yetapaka
2035,Anakapalli,2035202,K.Kotapadu Circle,2035400,Anakapalli SDPO,2035029,A.Koduru
2035,Anakapalli,2035200,Anakapalli Rural Circle,2035400,Anakapalli SDPO,2035070,Anakapalli Rural
2035,Anakapalli,0,-,2035400,Anakapalli SDPO,2035001,Anakapalli Town
2035,Anakapalli,2035213,Anakapalli Town UPS,2035400,Anakapalli SDPO,2035022,Anakapalli Traffic
2035,Anakapalli,0,-,2035404,Parawada SDPO,2035067,Atchutapuram
2035,Anakapalli,2035208,Kothakota Circle,2035400,Anakapalli SDPO,2035005,Butchiyyapeta
2035,Anakapalli,0,-,0,-,2035072,"CCS , Anakapalli"
2035,Anakapalli,2035202,K.Kotapadu Circle,2035400,Anakapalli SDPO,2035009,Cheedikada
2035,Anakapalli,0,-,2035400,Anakapalli SDPO,2035008,Chodavaram
2035,Anakapalli,2035202,K.Kotapadu Circle,2035400,Anakapalli SDPO,2035010,Devarapalli
2035,Anakapalli,2035209,Narsipatnam Rural Circle,2035403,Narsipatnam SDPO,2035051,Golugonda
2035,Anakapalli,2035209,Narsipatnam Rural Circle,2035403,Narsipatnam SDPO,2035028,K.D.Peta
2035,Anakapalli,2035202,K.Kotapadu Circle,2035400,Anakapalli SDPO,2035031,K.Kotapadu
2035,Anakapalli,0,-,2035400,Anakapalli SDPO,2035027,Kasimkota
2035,Anakapalli,2035212,Nakkapalli Circle,2035403,Narsipatnam SDPO,2035032,Kotavurtla
2035,Anakapalli,2035208,Kothakota Circle,2035400,Anakapalli SDPO,2035030,Kothakota
2035,Anakapalli,0,-,0,-,2035015,"Mahila UPS, Anakapalli"
2035,Anakapalli,2035209,Narsipatnam Rural Circle,2035403,Narsipatnam SDPO,2035053,Makavarapalem
2035,Anakapalli,2035210,Yellamanchili Circle,2035404,Parawada SDPO,2035068,Munagapaka
2035,Anakapalli,0,-,2035403,Narsipatnam SDPO,2035035,Nakkapalli
2035,Anakapalli,2035209,Narsipatnam Rural Circle,2035403,Narsipatnam SDPO,2035038,Narsipatnam Rural
2035,Anakapalli,0,-,2035403,Narsipatnam SDPO,2035037,Narsipatnam Town
2035,Anakapalli,2035209,Narsipatnam Rural Circle,2035403,Narsipatnam SDPO,2035023,Nathavaram
2035,Anakapalli,0,-,2035404,Parawada SDPO,2038041,Parawada
2035,Anakapalli,0,-,2035403,Narsipatnam SDPO,2035041,Payakaraopeta
2035,Anakapalli,0,-,2035404,Parawada SDPO,2035044,Rambilli
2035,Anakapalli,2035208,Kothakota Circle,2035400,Anakapalli SDPO,2035045,Ravikamatham
2035,Anakapalli,2035208,Kothakota Circle,2035400,Anakapalli SDPO,2035046,Rolugunta
2035,Anakapalli,2035212,Nakkapalli Circle,2035403,Narsipatnam SDPO,2035052,S.Rayavaram
2035,Anakapalli,0,-,2035404,Parawada SDPO,2035012,Sabbavaram
2035,Anakapalli,2035202,K.Kotapadu Circle,2035400,Anakapalli SDPO,2035054,V.Madugula
2035,Anakapalli,2035210,Yellamanchili Circle,2035404,Parawada SDPO,2035064,Yelamanchili Rural
2035,Anakapalli,2035210,Yellamanchili Circle,2035404,Parawada SDPO,2035065,Yelamanchili Town
2035,Anakapalli,2035210,Yellamanchili Circle,2035404,Parawada SDPO,2035003,Yelamanchili Traffic
2012,Ananthapuram,0,-,2012400,Anantapuram Town SDPO,2012003,Anantapur I Town
2012,Ananthapuram,0,-,2012400,Anantapuram Town SDPO,2012004,Anantapur II Town
2012,Ananthapuram,0,-,2012400,Anantapuram Town SDPO,2012046,Anantapur III Town
