Proforma-II (Non-Fatal Accidents),,,,,,,,,,,,,,,,,,,,,,,,,
S.No,Unit Name,Non Fatal,Reason for Accident,Police Station Name,NH,SH,Corporation / City Road,Muncipal Road,Village Roads,Black Spot  Yes/No,Time of Accident,Two Wheeler,,,Three Wheeler,,Car/Cab/Maxi cab,,BUS,,LORRY,,Other vehicles,,
,,,,,,,,,,,,Accidents,Injured,Wearing helmet or Not,Accidents,Injured,Accidents,Injured,Accidents,Injured,Accidents,Injured,Accidents,Injured,
1,SKLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,VZM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,PVP MNYM,1,rash and neglegence,komarada PS,0,1,0,0,0,No,10:00:00,0,0,0,0,0,1,2,0,0,0,0,0,0,
4,ASR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,VSKP,2,Rash and negligence manner ,"1.P.M.Palem
2.Harbour ",1,0,1,0,0,"1.No
2.No","21:00
10:05",0,0,0,0,0,2,3,0,0,0,0,0,0,
6,AKP,1,Rash & Negligence,Sabbavaram PS,1,0,0,0,0,No,07.15 hrs,0,0,0,0,0,1,1,0,0,0,0,0,0,
7,KKD,2,Rash Driving,"Coringa PS
Gandeaplli PS",1,1,0,0,0,"No
Yes","10.00 AM
01.30 PM",0,0,0,1,2,0,0,0,0,1,2,0,0,
8,KNSM,1,Rash and negligence manner ,Ramachandrapuram PS,0,1,0,0,0,No,15:30:00,1,1,Not wearing,0,0,0,0,0,0,0,0,0,0,
9,EG,1,Rash and negligent manner with high speed,Rangampeta PS,0,1,0,0,0,No,09.30 AM,0,0,0,0,0,0,0,0,0,1,2,0,0,
10,PVLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,WG,4,"Over Speed, Over Speed, Over Speed, Rash & Negligence","Tanuku Rural PS, Bhimavaram Rural PS, Bhimavaram 2 Town PS, Akiveedu PS",2,2,0,0,0,"Yes, No, No, No","6.00, 21.30,13.30, 12.30",1,1,No,0,0,2,3,0,0,1,1,0,0,
12,ELR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,KRI,2,"Rash and negeligent
Rash and negeligent","Gannavaram
Robertsonpet ",1,0,1,0,0,"No 
No","19.45 hrs
15.45 hrs",1,1,No,0,,1,4,0,0,0,0,0,0,
14,NTR,3,"Rash & Negligence,
Hit Traffic Booth,
Rash & Negligence","Bhavanipuram,
Bhavanipuram,
A.S.Nagar",1,0,2,0,0,"No,
Yes,
No","11:45
17:00
23:30",1,1,No,0,0,1,1,0,0,1,0,0,0,
15,GTR,1,  Rash and negligence,Tadepalli PS,1,0,0,0,0,No,10.45 pm,1,1,No,0,0,0,0,0,0,0,0,0,0,
16,BPTL,1,over spedd,Battiprole,1,0,0,0,0, no,06:30am,1,1,no,0,0,0,0,0,0,0,0,0,0,
17,PLND,1,Rash & Negligence,Dachepalli PS,1,0,0,0,0,Yes,10.45 hrs,0,0,0,0,0,1,2,0,0,0,0,0,0,
18,PKSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,MKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,SPS NLR,3,"1. Rash & Negligence
2. Rash & Negligence
3. Rash & Negligence","1. Podalakur
2. South Traffic
3. Jaladanki",0,0,1,0,"1. Viruvuru Village
2. Jammalapalem Village ",No,"17.30
11.00
13.15",1,1,Yes,1,1,0,0,0,0,0,0,Tractor,1,
21,KRNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,NDYL,1,Rash and negligence with high speed,Nandyal Traffic UPS,1,0,0,0,0,No,12.00 PM,1,1,No,0,0,0,0,0,0,0,0,0,0,
23,ATPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,SSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,KDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,ANMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,TPTY,2,"1. Dashed against the backside 
Scooty
2. Dashed against the pedestrian
","1. Srikalahasti II town PS
2. East PS",2,0,0,0,0,no,"11-00 AM 
12.35 AM",0,0,0,0,0,1,2,1,1,0,0,0,0,
TOTAL,,26,,0,13,6,5,0,2,,,8,8,,2,3,10,18,1,1,4,5,1,1,
